
 Document Pair(0,0) 	 Similarity Score: 104.16570536933631
 Document Pair(0,73) 	 Similarity Score: 11.564281113678234

 Document Pair(0,74) 	 Similarity Score: 14.640199814130849

 Document Pair(0,75) 	 Similarity Score: 14.640199814130849

 Document Pair(0,76) 	 Similarity Score: 14.640199814130849

 Document Pair(0,77) 	 Similarity Score: 14.465237784870006

 Document Pair(0,78) 	 Similarity Score: 14.640199814130849

 Document Pair(0,79) 	 Similarity Score: 15.212998455051228

 Document Pair(0,80) 	 Similarity Score: 14.640199814130849

 Document Pair(0,81) 	 Similarity Score: 14.947241175219078

 Document Pair(0,82) 	 Similarity Score: 15.212998455051228

 Document Pair(0,83) 	 Similarity Score: 20.871854193992228

 Document Pair(0,84) 	 Similarity Score: 15.212998455051228

 Document Pair(0,85) 	 Similarity Score: 15.212998455051228

 Document Pair(0,86) 	 Similarity Score: 15.212998455051228

 Document Pair(0,87) 	 Similarity Score: 20.871854193992228

 Document Pair(0,88) 	 Similarity Score: 15.212998455051228

 Document Pair(0,89) 	 Similarity Score: 20.871854193992228

 Document Pair(0,90) 	 Similarity Score: 14.39331280110955

 Document Pair(0,91) 	 Similarity Score: 20.871854193992228

 Document Pair(0,92) 	 Similarity Score: 14.640199814130849

 Document Pair(0,93) 	 Similarity Score: 14.59407874943163

 Document Pair(0,94) 	 Similarity Score: 14.640199814130849

 Document Pair(0,95) 	 Similarity Score: 14.640199814130849

 Document Pair(0,96) 	 Similarity Score: 14.39331280110955

 Document Pair(0,97) 	 Similarity Score: 23.534767897729928

 Document Pair(0,98) 	 Similarity Score: 15.212998455051228

 Document Pair(0,99) 	 Similarity Score: 14.640199814130849

 Document Pair(0,100) 	 Similarity Score: 14.480075171313098

 Document Pair(1,0) 	 Similarity Score: 29.957321249286462

 Document Pair(1,1) 	 Similarity Score: 138.92190129982208

 Document Pair(1,2) 	 Similarity Score: 45.86714549152568

 Document Pair(1,3) 	 Similarity Score: 43.27206955347034

 Document Pair(1,4) 	 Similarity Score: 46.70413111920848

 Document Pair(1,5) 	 Similarity Score: 45.86714549152568

 Document Pair(1,6) 	 Similarity Score: 45.86714549152568

 Document Pair(1,7) 	 Similarity Score: 138.92190129982208

 Document Pair(1,8) 	 Similarity Score: 37.72787143190125

 Document Pair(1,9) 	 Similarity Score: 138.92190129982208

 Document Pair(1,10) 	 Similarity Score: 45.86714549152568

 Document Pair(1,11) 	 Similarity Score: 28.0965799306938

 Document Pair(1,12) 	 Similarity Score: 138.92190129982208

 Document Pair(1,13) 	 Similarity Score: 138.92190129982208

 Document Pair(1,14) 	 Similarity Score: 138.92190129982208

 Document Pair(1,15) 	 Similarity Score: 40.96557719944599

 Document Pair(1,16) 	 Similarity Score: 45.86714549152568

 Document Pair(1,17) 	 Similarity Score: 45.86714549152568

 Document Pair(1,18) 	 Similarity Score: 138.92190129982208

 Document Pair(1,19) 	 Similarity Score: 40.93143062330585

 Document Pair(1,20) 	 Similarity Score: 45.86714549152568

 Document Pair(1,21) 	 Similarity Score: 40.58155927171812

 Document Pair(1,22) 	 Similarity Score: 40.96557719944599

 Document Pair(1,23) 	 Similarity Score: 40.38873605350878

 Document Pair(1,24) 	 Similarity Score: 37.72787143190125

 Document Pair(1,25) 	 Similarity Score: 138.92190129982208

 Document Pair(1,26) 	 Similarity Score: 138.92190129982208

 Document Pair(1,27) 	 Similarity Score: 138.92190129982208

 Document Pair(1,28) 	 Similarity Score: 138.92190129982208

 Document Pair(1,29) 	 Similarity Score: 138.92190129982208

 Document Pair(1,30) 	 Similarity Score: 45.86714549152568

 Document Pair(1,31) 	 Similarity Score: 45.86714549152568

 Document Pair(1,32) 	 Similarity Score: 45.86714549152568

 Document Pair(1,33) 	 Similarity Score: 138.92190129982208

 Document Pair(1,34) 	 Similarity Score: 26.811533811265715

 Document Pair(1,35) 	 Similarity Score: 52.02038957289869

 Document Pair(1,36) 	 Similarity Score: 45.86714549152568

 Document Pair(1,37) 	 Similarity Score: 22.858904592702636

 Document Pair(1,38) 	 Similarity Score: 36.90303450404185

 Document Pair(1,39) 	 Similarity Score: 45.80660672290758

 Document Pair(1,40) 	 Similarity Score: 42.153542900054305

 Document Pair(1,41) 	 Similarity Score: 40.96557719944599

 Document Pair(1,42) 	 Similarity Score: 26.8055013698448

 Document Pair(1,43) 	 Similarity Score: 26.804828533831106

 Document Pair(1,44) 	 Similarity Score: 28.083430226718786

 Document Pair(1,45) 	 Similarity Score: 45.86714549152568

 Document Pair(1,46) 	 Similarity Score: 34.90281353369618

 Document Pair(1,47) 	 Similarity Score: 138.92190129982208

 Document Pair(1,48) 	 Similarity Score: 138.92190129982208

 Document Pair(1,49) 	 Similarity Score: 45.86714549152568

 Document Pair(1,50) 	 Similarity Score: 138.92190129982208

 Document Pair(1,51) 	 Similarity Score: 138.92190129982208

 Document Pair(1,52) 	 Similarity Score: 45.86714549152568

 Document Pair(1,53) 	 Similarity Score: 28.0965799306938

 Document Pair(1,54) 	 Similarity Score: 43.27206955347034

 Document Pair(1,55) 	 Similarity Score: 41.55424129728492

 Document Pair(1,56) 	 Similarity Score: 33.55494774156366

 Document Pair(1,57) 	 Similarity Score: 138.92190129982208

 Document Pair(1,58) 	 Similarity Score: 138.92190129982208

 Document Pair(1,59) 	 Similarity Score: 138.92190129982208

 Document Pair(1,60) 	 Similarity Score: 26.804061349352505

 Document Pair(1,61) 	 Similarity Score: 45.86714549152568

 Document Pair(1,62) 	 Similarity Score: 45.86714549152568

 Document Pair(1,63) 	 Similarity Score: 45.86714549152568

 Document Pair(1,64) 	 Similarity Score: 138.92190129982208

 Document Pair(1,65) 	 Similarity Score: 42.153542900054305

 Document Pair(1,66) 	 Similarity Score: 51.10756586717151

 Document Pair(1,67) 	 Similarity Score: 138.92190129982208

 Document Pair(1,68) 	 Similarity Score: 138.92190129982208

 Document Pair(1,69) 	 Similarity Score: 45.86714549152568

 Document Pair(1,70) 	 Similarity Score: 138.92190129982208

 Document Pair(1,71) 	 Similarity Score: 138.92190129982208

 Document Pair(1,72) 	 Similarity Score: 45.86714549152568

 Document Pair(1,73) 	 Similarity Score: 22.858904592702636

 Document Pair(1,74) 	 Similarity Score: 43.27206955347034

 Document Pair(1,75) 	 Similarity Score: 43.27206955347034

 Document Pair(1,76) 	 Similarity Score: 43.27206955347034

 Document Pair(1,77) 	 Similarity Score: 26.804061349352505

 Document Pair(1,78) 	 Similarity Score: 43.27206955347034

 Document Pair(1,79) 	 Similarity Score: 45.86714549152568

 Document Pair(1,80) 	 Similarity Score: 43.27206955347034

 Document Pair(1,81) 	 Similarity Score: 28.409806770854196

 Document Pair(1,82) 	 Similarity Score: 45.86714549152568

 Document Pair(1,83) 	 Similarity Score: 138.92190129982208

 Document Pair(1,84) 	 Similarity Score: 45.86714549152568

 Document Pair(1,85) 	 Similarity Score: 45.86714549152568

 Document Pair(1,86) 	 Similarity Score: 45.86714549152568

 Document Pair(1,87) 	 Similarity Score: 138.92190129982208

 Document Pair(1,88) 	 Similarity Score: 45.86714549152568

 Document Pair(1,89) 	 Similarity Score: 138.92190129982208

 Document Pair(1,90) 	 Similarity Score: 42.153542900054305

 Document Pair(1,91) 	 Similarity Score: 138.92190129982208

 Document Pair(1,92) 	 Similarity Score: 43.27206955347034

 Document Pair(1,93) 	 Similarity Score: 26.811533811265715

 Document Pair(1,94) 	 Similarity Score: 43.27206955347034

 Document Pair(1,95) 	 Similarity Score: 43.27206955347034

 Document Pair(1,96) 	 Similarity Score: 42.153542900054305

 Document Pair(1,97) 	 Similarity Score: 53.31575682876463

 Document Pair(1,98) 	 Similarity Score: 45.86714549152568

 Document Pair(1,99) 	 Similarity Score: 43.27206955347034

 Document Pair(1,100) 	 Similarity Score: 26.808112963397658

 Document Pair(2,0) 	 Similarity Score: 22.355820159174137

 Document Pair(2,1) 	 Similarity Score: 38.43867371367621

 Document Pair(2,2) 	 Similarity Score: 101.81980515339464

 Document Pair(2,3) 	 Similarity Score: 27.47322683982437

 Document Pair(2,4) 	 Similarity Score: 52.58682808634872

 Document Pair(2,5) 	 Similarity Score: 101.81980515339464

 Document Pair(2,6) 	 Similarity Score: 101.81980515339464

 Document Pair(2,7) 	 Similarity Score: 38.43867371367621

 Document Pair(2,8) 	 Similarity Score: 25.362189970405947

 Document Pair(2,9) 	 Similarity Score: 38.43867371367621

 Document Pair(2,10) 	 Similarity Score: 101.81980515339464

 Document Pair(2,11) 	 Similarity Score: 21.062806229708535

 Document Pair(2,12) 	 Similarity Score: 38.43867371367621

 Document Pair(2,13) 	 Similarity Score: 38.43867371367621

 Document Pair(2,14) 	 Similarity Score: 38.43867371367621

 Document Pair(2,15) 	 Similarity Score: 24.3445730664498

 Document Pair(2,16) 	 Similarity Score: 101.81980515339464

 Document Pair(2,17) 	 Similarity Score: 101.81980515339464

 Document Pair(2,18) 	 Similarity Score: 38.43867371367621

 Document Pair(2,19) 	 Similarity Score: 28.44833339094316

 Document Pair(2,20) 	 Similarity Score: 101.81980515339464

 Document Pair(2,21) 	 Similarity Score: 25.08431148112346

 Document Pair(2,22) 	 Similarity Score: 24.3445730664498

 Document Pair(2,23) 	 Similarity Score: 25.712634493471437

 Document Pair(2,24) 	 Similarity Score: 25.362189970405947

 Document Pair(2,25) 	 Similarity Score: 38.43867371367621

 Document Pair(2,26) 	 Similarity Score: 38.43867371367621

 Document Pair(2,27) 	 Similarity Score: 38.43867371367621

 Document Pair(2,28) 	 Similarity Score: 38.43867371367621

 Document Pair(2,29) 	 Similarity Score: 38.43867371367621

 Document Pair(2,30) 	 Similarity Score: 101.81980515339464

 Document Pair(2,31) 	 Similarity Score: 101.81980515339464

 Document Pair(2,32) 	 Similarity Score: 101.81980515339464

 Document Pair(2,33) 	 Similarity Score: 38.43867371367621

 Document Pair(2,34) 	 Similarity Score: 47.714514714288526

 Document Pair(2,35) 	 Similarity Score: 33.96136821185459

 Document Pair(2,36) 	 Similarity Score: 101.81980515339464

 Document Pair(2,37) 	 Similarity Score: 17.252007767816334

 Document Pair(2,38) 	 Similarity Score: 25.281875632770785

 Document Pair(2,39) 	 Similarity Score: 29.192826735494954

 Document Pair(2,40) 	 Similarity Score: 25.955995434862533

 Document Pair(2,41) 	 Similarity Score: 24.3445730664498

 Document Pair(2,42) 	 Similarity Score: 18.785152151309344

 Document Pair(2,43) 	 Similarity Score: 18.64735268710865

 Document Pair(2,44) 	 Similarity Score: 20.602276375729144

 Document Pair(2,45) 	 Similarity Score: 101.81980515339464

 Document Pair(2,46) 	 Similarity Score: 26.202310021177432

 Document Pair(2,47) 	 Similarity Score: 38.43867371367621

 Document Pair(2,48) 	 Similarity Score: 38.43867371367621

 Document Pair(2,49) 	 Similarity Score: 101.81980515339464

 Document Pair(2,50) 	 Similarity Score: 38.43867371367621

 Document Pair(2,51) 	 Similarity Score: 38.43867371367621

 Document Pair(2,52) 	 Similarity Score: 101.81980515339464

 Document Pair(2,53) 	 Similarity Score: 21.062806229708535

 Document Pair(2,54) 	 Similarity Score: 27.47322683982437

 Document Pair(2,55) 	 Similarity Score: 25.143069600696045

 Document Pair(2,56) 	 Similarity Score: 20.38992923383837

 Document Pair(2,57) 	 Similarity Score: 38.43867371367621

 Document Pair(2,58) 	 Similarity Score: 38.43867371367621

 Document Pair(2,59) 	 Similarity Score: 38.43867371367621

 Document Pair(2,60) 	 Similarity Score: 19.03632024327058

 Document Pair(2,61) 	 Similarity Score: 101.81980515339464

 Document Pair(2,62) 	 Similarity Score: 101.81980515339464

 Document Pair(2,63) 	 Similarity Score: 101.81980515339464

 Document Pair(2,64) 	 Similarity Score: 38.43867371367621

 Document Pair(2,65) 	 Similarity Score: 25.955995434862533

 Document Pair(2,66) 	 Similarity Score: 33.341733376077684

 Document Pair(2,67) 	 Similarity Score: 38.43867371367621

 Document Pair(2,68) 	 Similarity Score: 38.43867371367621

 Document Pair(2,69) 	 Similarity Score: 101.81980515339464

 Document Pair(2,70) 	 Similarity Score: 38.43867371367621

 Document Pair(2,71) 	 Similarity Score: 38.43867371367621

 Document Pair(2,72) 	 Similarity Score: 101.81980515339464

 Document Pair(2,73) 	 Similarity Score: 17.252007767816334

 Document Pair(2,74) 	 Similarity Score: 27.47322683982437

 Document Pair(2,75) 	 Similarity Score: 27.47322683982437

 Document Pair(2,76) 	 Similarity Score: 27.47322683982437

 Document Pair(2,77) 	 Similarity Score: 19.03632024327058

 Document Pair(2,78) 	 Similarity Score: 27.47322683982437

 Document Pair(2,79) 	 Similarity Score: 101.81980515339464

 Document Pair(2,80) 	 Similarity Score: 27.47322683982437

 Document Pair(2,81) 	 Similarity Score: 42.27410313103454

 Document Pair(2,82) 	 Similarity Score: 101.81980515339464

 Document Pair(2,83) 	 Similarity Score: 38.43867371367621

 Document Pair(2,84) 	 Similarity Score: 101.81980515339464

 Document Pair(2,85) 	 Similarity Score: 101.81980515339464

 Document Pair(2,86) 	 Similarity Score: 101.81980515339464

 Document Pair(2,87) 	 Similarity Score: 38.43867371367621

 Document Pair(2,88) 	 Similarity Score: 101.81980515339464

 Document Pair(2,89) 	 Similarity Score: 38.43867371367621

 Document Pair(2,90) 	 Similarity Score: 25.955995434862533

 Document Pair(2,91) 	 Similarity Score: 38.43867371367621

 Document Pair(2,92) 	 Similarity Score: 27.47322683982437

 Document Pair(2,93) 	 Similarity Score: 47.714514714288526

 Document Pair(2,94) 	 Similarity Score: 27.47322683982437

 Document Pair(2,95) 	 Similarity Score: 27.47322683982437

 Document Pair(2,96) 	 Similarity Score: 25.955995434862533

 Document Pair(2,97) 	 Similarity Score: 34.615464804752975

 Document Pair(2,98) 	 Similarity Score: 101.81980515339464

 Document Pair(2,99) 	 Similarity Score: 27.47322683982437

 Document Pair(2,100) 	 Similarity Score: 19.32001679137972

 Document Pair(3,0) 	 Similarity Score: 21.783021518253758

 Document Pair(3,1) 	 Similarity Score: 35.843597775620864

 Document Pair(3,2) 	 Similarity Score: 27.47322683982437

 Document Pair(3,3) 	 Similarity Score: 101.81980515339464

 Document Pair(3,4) 	 Similarity Score: 28.935215619688382

 Document Pair(3,5) 	 Similarity Score: 27.47322683982437

 Document Pair(3,6) 	 Similarity Score: 27.47322683982437

 Document Pair(3,7) 	 Similarity Score: 35.843597775620864

 Document Pair(3,8) 	 Similarity Score: 25.26029653504816

 Document Pair(3,9) 	 Similarity Score: 35.843597775620864

 Document Pair(3,10) 	 Similarity Score: 27.47322683982437

 Document Pair(3,11) 	 Similarity Score: 20.346325778322903

 Document Pair(3,12) 	 Similarity Score: 35.843597775620864

 Document Pair(3,13) 	 Similarity Score: 35.843597775620864

 Document Pair(3,14) 	 Similarity Score: 35.843597775620864

 Document Pair(3,15) 	 Similarity Score: 23.355908274126

 Document Pair(3,16) 	 Similarity Score: 27.47322683982437

 Document Pair(3,17) 	 Similarity Score: 27.47322683982437

 Document Pair(3,18) 	 Similarity Score: 35.843597775620864

 Document Pair(3,19) 	 Similarity Score: 28.38989243877122

 Document Pair(3,20) 	 Similarity Score: 27.47322683982437

 Document Pair(3,21) 	 Similarity Score: 25.027579010065566

 Document Pair(3,22) 	 Similarity Score: 23.355908274126

 Document Pair(3,23) 	 Similarity Score: 101.4954083584571

 Document Pair(3,24) 	 Similarity Score: 25.26029653504816

 Document Pair(3,25) 	 Similarity Score: 35.843597775620864

 Document Pair(3,26) 	 Similarity Score: 35.843597775620864

 Document Pair(3,27) 	 Similarity Score: 35.843597775620864

 Document Pair(3,28) 	 Similarity Score: 35.843597775620864

 Document Pair(3,29) 	 Similarity Score: 35.843597775620864

 Document Pair(3,30) 	 Similarity Score: 27.47322683982437

 Document Pair(3,31) 	 Similarity Score: 27.47322683982437

 Document Pair(3,32) 	 Similarity Score: 27.47322683982437

 Document Pair(3,33) 	 Similarity Score: 35.843597775620864

 Document Pair(3,34) 	 Similarity Score: 18.79645164045565

 Document Pair(3,35) 	 Similarity Score: 33.44582589345013

 Document Pair(3,36) 	 Similarity Score: 27.47322683982437

 Document Pair(3,37) 	 Similarity Score: 16.70988925928038

 Document Pair(3,38) 	 Similarity Score: 25.210560975474532

 Document Pair(3,39) 	 Similarity Score: 28.181294906999714

 Document Pair(3,40) 	 Similarity Score: 24.353799753559453

 Document Pair(3,41) 	 Similarity Score: 23.355908274126

 Document Pair(3,42) 	 Similarity Score: 18.03137429977619

 Document Pair(3,43) 	 Similarity Score: 17.946040427110756

 Document Pair(3,44) 	 Similarity Score: 19.814370489669233

 Document Pair(3,45) 	 Similarity Score: 27.47322683982437

 Document Pair(3,46) 	 Similarity Score: 25.904411708426895

 Document Pair(3,47) 	 Similarity Score: 35.843597775620864

 Document Pair(3,48) 	 Similarity Score: 35.843597775620864

 Document Pair(3,49) 	 Similarity Score: 27.47322683982437

 Document Pair(3,50) 	 Similarity Score: 35.843597775620864

 Document Pair(3,51) 	 Similarity Score: 35.843597775620864

 Document Pair(3,52) 	 Similarity Score: 27.47322683982437

 Document Pair(3,53) 	 Similarity Score: 20.346325778322903

 Document Pair(3,54) 	 Similarity Score: 101.81980515339464

 Document Pair(3,55) 	 Similarity Score: 23.85038626046942

 Document Pair(3,56) 	 Similarity Score: 20.389412884940516

 Document Pair(3,57) 	 Similarity Score: 35.843597775620864

 Document Pair(3,58) 	 Similarity Score: 35.843597775620864

 Document Pair(3,59) 	 Similarity Score: 35.843597775620864

 Document Pair(3,60) 	 Similarity Score: 19.036015259760127

 Document Pair(3,61) 	 Similarity Score: 27.47322683982437

 Document Pair(3,62) 	 Similarity Score: 27.47322683982437

 Document Pair(3,63) 	 Similarity Score: 27.47322683982437

 Document Pair(3,64) 	 Similarity Score: 35.843597775620864

 Document Pair(3,65) 	 Similarity Score: 24.353799753559453

 Document Pair(3,66) 	 Similarity Score: 32.838077796368026

 Document Pair(3,67) 	 Similarity Score: 35.843597775620864

 Document Pair(3,68) 	 Similarity Score: 35.843597775620864

 Document Pair(3,69) 	 Similarity Score: 27.47322683982437

 Document Pair(3,70) 	 Similarity Score: 35.843597775620864

 Document Pair(3,71) 	 Similarity Score: 35.843597775620864

 Document Pair(3,72) 	 Similarity Score: 27.47322683982437

 Document Pair(3,73) 	 Similarity Score: 16.70988925928038

 Document Pair(3,74) 	 Similarity Score: 101.81980515339464

 Document Pair(3,75) 	 Similarity Score: 101.81980515339464

 Document Pair(3,76) 	 Similarity Score: 101.81980515339464

 Document Pair(3,77) 	 Similarity Score: 19.036015259760127

 Document Pair(3,78) 	 Similarity Score: 101.81980515339464

 Document Pair(3,79) 	 Similarity Score: 27.47322683982437

 Document Pair(3,80) 	 Similarity Score: 101.81980515339464

 Document Pair(3,81) 	 Similarity Score: 20.088526866669753

 Document Pair(3,82) 	 Similarity Score: 27.47322683982437

 Document Pair(3,83) 	 Similarity Score: 35.843597775620864

 Document Pair(3,84) 	 Similarity Score: 27.47322683982437

 Document Pair(3,85) 	 Similarity Score: 27.47322683982437

 Document Pair(3,86) 	 Similarity Score: 27.47322683982437

 Document Pair(3,87) 	 Similarity Score: 35.843597775620864

 Document Pair(3,88) 	 Similarity Score: 27.47322683982437

 Document Pair(3,89) 	 Similarity Score: 35.843597775620864

 Document Pair(3,90) 	 Similarity Score: 24.353799753559453

 Document Pair(3,91) 	 Similarity Score: 35.843597775620864

 Document Pair(3,92) 	 Similarity Score: 101.81980515339464

 Document Pair(3,93) 	 Similarity Score: 18.79645164045565

 Document Pair(3,94) 	 Similarity Score: 101.81980515339464

 Document Pair(3,95) 	 Similarity Score: 101.81980515339464

 Document Pair(3,96) 	 Similarity Score: 24.353799753559453

 Document Pair(3,97) 	 Similarity Score: 34.16545259766309

 Document Pair(3,98) 	 Similarity Score: 27.47322683982437

 Document Pair(3,99) 	 Similarity Score: 101.81980515339464

 Document Pair(3,100) 	 Similarity Score: 54.73491629237772

 Document Pair(4,0) 	 Similarity Score: 19.39986319455949

 Document Pair(4,1) 	 Similarity Score: 31.73610873705502

 Document Pair(4,2) 	 Similarity Score: 46.480334979746566

 Document Pair(4,3) 	 Similarity Score: 20.909329688078905

 Document Pair(4,4) 	 Similarity Score: 102.74402643160184

 Document Pair(4,5) 	 Similarity Score: 46.480334979746566

 Document Pair(4,6) 	 Similarity Score: 46.480334979746566

 Document Pair(4,7) 	 Similarity Score: 31.73610873705502

 Document Pair(4,8) 	 Similarity Score: 21.26493214690416

 Document Pair(4,9) 	 Similarity Score: 31.73610873705502

 Document Pair(4,10) 	 Similarity Score: 46.480334979746566

 Document Pair(4,11) 	 Similarity Score: 17.776284819594274

 Document Pair(4,12) 	 Similarity Score: 31.73610873705502

 Document Pair(4,13) 	 Similarity Score: 31.73610873705502

 Document Pair(4,14) 	 Similarity Score: 31.73610873705502

 Document Pair(4,15) 	 Similarity Score: 19.598300169362172

 Document Pair(4,16) 	 Similarity Score: 46.480334979746566

 Document Pair(4,17) 	 Similarity Score: 46.480334979746566

 Document Pair(4,18) 	 Similarity Score: 31.73610873705502

 Document Pair(4,19) 	 Similarity Score: 25.44673566254189

 Document Pair(4,20) 	 Similarity Score: 46.480334979746566

 Document Pair(4,21) 	 Similarity Score: 20.01627218085722

 Document Pair(4,22) 	 Similarity Score: 19.598300169362172

 Document Pair(4,23) 	 Similarity Score: 20.24874011792176

 Document Pair(4,24) 	 Similarity Score: 21.26493214690416

 Document Pair(4,25) 	 Similarity Score: 31.73610873705502

 Document Pair(4,26) 	 Similarity Score: 31.73610873705502

 Document Pair(4,27) 	 Similarity Score: 31.73610873705502

 Document Pair(4,28) 	 Similarity Score: 31.73610873705502

 Document Pair(4,29) 	 Similarity Score: 31.73610873705502

 Document Pair(4,30) 	 Similarity Score: 46.480334979746566

 Document Pair(4,31) 	 Similarity Score: 46.480334979746566

 Document Pair(4,32) 	 Similarity Score: 46.480334979746566

 Document Pair(4,33) 	 Similarity Score: 31.73610873705502

 Document Pair(4,34) 	 Similarity Score: 23.617155593094303

 Document Pair(4,35) 	 Similarity Score: 32.802649399007365

 Document Pair(4,36) 	 Similarity Score: 46.480334979746566

 Document Pair(4,37) 	 Similarity Score: 12.903307417352227

 Document Pair(4,38) 	 Similarity Score: 21.23127726686855

 Document Pair(4,39) 	 Similarity Score: 61.020441260873866

 Document Pair(4,40) 	 Similarity Score: 81.59313032668332

 Document Pair(4,41) 	 Similarity Score: 19.598300169362172

 Document Pair(4,42) 	 Similarity Score: 14.552145355756416

 Document Pair(4,43) 	 Similarity Score: 14.494401936919884

 Document Pair(4,44) 	 Similarity Score: 16.590972180215914

 Document Pair(4,45) 	 Similarity Score: 46.480334979746566

